Cancer	Gene	cnv	N.cells.with.cnv
BRCA	SUPV3L1	Loss	7921
BRCA	HK1	Loss	10484
BRCA	H2AFY2	Gain	610
BRCA	H2AFY2	Loss	2415
BRCA	SAR1A	Gain	610
BRCA	SAR1A	Loss	10601
BRCA	PPA1	Gain	610
BRCA	PPA1	Loss	10352
BRCA	SGPL1	Gain	610
BRCA	SGPL1	Loss	10601
BRCA	PSAP	Gain	610
BRCA	PSAP	Loss	10601
BRCA	ASCC1	Gain	610
BRCA	ASCC1	Loss	10601
BRCA	ANAPC16	Gain	610
BRCA	ANAPC16	Loss	10601
BRCA	MICU1	Gain	610
BRCA	MICU1	Loss	10601
BRCA	MCU	Gain	610
BRCA	MCU	Loss	10150
BRCA	P4HA1	Gain	610
BRCA	P4HA1	Loss	10150
BRCA	ECD	Gain	610
BRCA	ECD	Loss	10150
BRCA	FAM149B1	Gain	610
BRCA	FAM149B1	Loss	10150
BRCA	DNAJC9	Gain	610
BRCA	DNAJC9	Loss	10150
BRCA	CFAP70	Gain	610
BRCA	CFAP70	Loss	2415
BRCA	ANXA7	Gain	610
BRCA	ANXA7	Loss	9708
BRCA	PPP3CB	Gain	610
BRCA	PPP3CB	Loss	9708
BRCA	USP54	Gain	610
BRCA	USP54	Loss	9344
BRCA	ZSWIM8	Gain	610
BRCA	ZSWIM8	Loss	9634
BRCA	CAMK2G	Gain	610
BRCA	CAMK2G	Loss	9485
BRCA	VCL	Gain	610
BRCA	VCL	Loss	9485
BRCA	AP3M1	Loss	9147
BRCA	ADK	Gain	610
BRCA	ADK	Loss	10060
BRCA	KAT6B	Gain	610
BRCA	KAT6B	Loss	9396
BRCA	SAMD8	Gain	610
BRCA	SAMD8	Loss	9396
BRCA	LRMDA	Gain	610
BRCA	LRMDA	Loss	9396
BRCA	KCNMA1	Gain	610
BRCA	KCNMA1	Loss	9396
BRCA	DLG5	Gain	610
BRCA	DLG5	Loss	9816
BRCA	POLR3A	Gain	610
BRCA	POLR3A	Loss	9567
BRCA	RPS24	Gain	610
BRCA	RPS24	Loss	9816
BRCA	ZMIZ1	Gain	610
BRCA	ZMIZ1	Loss	9816
BRCA	NUTM2B-AS1	Gain	610
BRCA	NUTM2B-AS1	Loss	9816
BRCA	TMEM254	Loss	9567
BRCA	ANXA11	Gain	610
BRCA	ANXA11	Loss	4442
BRCA	TSPAN14	Gain	610
BRCA	TSPAN14	Loss	9816
BRCA	CCSER2	Gain	610
BRCA	CCSER2	Loss	10335
BRCA	WAPL	Gain	610
BRCA	WAPL	Loss	10335
BRCA	BMPR1A	Gain	610
BRCA	BMPR1A	Loss	10335
BRCA	ADIRF	Loss	2486
BRCA	GLUD1	Gain	610
BRCA	GLUD1	Loss	10335
BRCA	SHLD2	Gain	610
BRCA	SHLD2	Loss	10335
BRCA	NUTM2A-AS1	Gain	610
